st,sc,g,h,production
st3,sc9,ocgt,h12,0.0
st3,sc12,wind,h11,880.8000000000001
st3,sc9,ccgt,h06,0.0
st2,sc1,ocgt,h01,0.0
st3,sc8,solar,h18,27.300000000000004
st3,sc12,solar,h08,9.099999999999998
st2,sc1,wind,h06,250.0
st3,sc9,solar,h16,209.30000000000004
st3,sc10,ccgt,h23,800.0
st3,sc4,wind,h01,275.0
st3,sc10,ocgt,h06,0.0
st3,sc7,solar,h02,0.0
st3,sc7,ocgt,h22,199.99999999999997
st3,sc5,wind,h15,824.5999999999999
st2,sc2,ccgt,h12,0.0
st3,sc12,wind,h19,1366.0
st2,sc2,wind,h21,1025.0
st3,sc11,ccgt,h22,309.0
st3,sc4,ccgt,h15,256.1999999999998
st3,sc7,wind,h01,275.0
st3,sc5,solar,h09,182.0
